"","manufacturer","model","displ","year","cyl","trans","drv","cty","hwy","fl","class"
"30","chevron","k1500 tahoe 4wd",5.3,2008,8,"auto(l4)","4",11,14,"e","suv"
"31","chevron","k1500 tahoe 4wd",5.7,1999,8,"auto(l4)","4",11,15,"r","suv"
"32","chevron","k1500 tahoe 4wd",6.5,1999,8,"auto(l4)","4",14,17,"d","suv"
"33","chevron","malibu",2.4,1999,4,"auto(l4)","f",19,27,"r","midsize"
"34","chevron","malibu",2.4,2008,4,"auto(l4)","f",22,30,"r","midsize"
"35","chevron","malibu",3.1,1999,6,"auto(l4)","f",18,26,"r","midsize"
"36","chevron","malibu",3.5,2008,6,"auto(l4)","f",18,29,"r","midsize"
"37","chevron","malibu",3.6,2008,6,"auto(s6)","f",17,26,"r","midsize"
"38","doggie","caravan 2wd",2.4,1999,4,"auto(l3)","f",18,24,"r","minivan"
"39","doggie","caravan 2wd",3,1999,6,"auto(l4)","f",17,24,"r","minivan"
"40","doggie","caravan 2wd",3.3,1999,6,"auto(l4)","f",16,22,"r","minivan"
"41","doggie","caravan 2wd",3.3,1999,6,"auto(l4)","f",16,22,"r","minivan"
"42","doggie","caravan 2wd",3.3,2008,6,"auto(l4)","f",17,24,"r","minivan"
"43","doggie","caravan 2wd",3.3,2008,6,"auto(l4)","f",17,24,"r","minivan"
"44","doggie","caravan 2wd",3.3,2008,6,"auto(l4)","f",11,17,"e","minivan"
"45","doggie","caravan 2wd",3.8,1999,6,"auto(l4)","f",15,22,"r","minivan"
"46","doggie","caravan 2wd",3.8,1999,6,"auto(l4)","f",15,21,"r","minivan"
"47","doggie","caravan 2wd",3.8,2008,6,"auto(l6)","f",16,23,"r","minivan"
"48","doggie","caravan 2wd",4,2008,6,"auto(l6)","f",16,23,"r","minivan"
"49","doggie","dakota pickup 4wd",3.7,2008,6,"manual(m6)","4",15,19,"r","pickup"
"50","doggie","dakota pickup 4wd",3.7,2008,6,"auto(l4)","4",14,18,"r","pickup"
"51","doggie","dakota pickup 4wd",3.9,1999,6,"auto(l4)","4",13,17,"r","pickup"
"52","doggie","dakota pickup 4wd",3.9,1999,6,"manual(m5)","4",14,17,"r","pickup"
"53","doggie","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","pickup"
"54","doggie","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","pickup"
"55","doggie","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","pickup"
"56","doggie","dakota pickup 4wd",5.2,1999,8,"manual(m5)","4",11,17,"r","pickup"
"57","doggie","dakota pickup 4wd",5.2,1999,8,"auto(l4)","4",11,15,"r","pickup"
"58","doggie","durango 4wd",3.9,1999,6,"auto(l4)","4",13,17,"r","suv"
"59","doggie","durango 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","suv"
"60","doggie","durango 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","suv"
"61","doggie","durango 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","suv"
"62","doggie","durango 4wd",5.2,1999,8,"auto(l4)","4",11,16,"r","suv"
"63","doggie","durango 4wd",5.7,2008,8,"auto(l5)","4",13,18,"r","suv"
"64","doggie","durango 4wd",5.9,1999,8,"auto(l4)","4",11,15,"r","suv"
"65","doggie","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",12,16,"r","pickup"
"66","doggie","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","pickup"
"67","doggie","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","pickup"
"68","doggie","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","pickup"
"69","doggie","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",12,16,"r","pickup"
"70","doggie","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",9,12,"e","pickup"
"71","doggie","ram 1500 pickup 4wd",5.2,1999,8,"auto(l4)","4",11,15,"r","pickup"
"72","doggie","ram 1500 pickup 4wd",5.2,1999,8,"manual(m5)","4",11,16,"r","pickup"
"73","doggie","ram 1500 pickup 4wd",5.7,2008,8,"auto(l5)","4",13,17,"r","pickup"
"74","doggie","ram 1500 pickup 4wd",5.9,1999,8,"auto(l4)","4",11,15,"r","pickup"
"75","freeway","expedition 2wd",4.6,1999,8,"auto(l4)","r",11,17,"r","suv"
"76","freeway","expedition 2wd",5.4,1999,8,"auto(l4)","r",11,17,"r","suv"
"77","freeway","expedition 2wd",5.4,2008,8,"auto(l6)","r",12,18,"r","suv"
"78","freeway","explorer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv"
"79","freeway","explorer 4wd",4,1999,6,"manual(m5)","4",15,19,"r","suv"
"80","freeway","explorer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv"
"81","freeway","explorer 4wd",4,2008,6,"auto(l5)","4",13,19,"r","suv"
"82","freeway","explorer 4wd",4.6,2008,8,"auto(l6)","4",13,19,"r","suv"
"83","freeway","explorer 4wd",5,1999,8,"auto(l4)","4",13,17,"r","suv"
"84","freeway","f150 pickup 4wd",4.2,1999,6,"auto(l4)","4",14,17,"r","pickup"
"85","freeway","f150 pickup 4wd",4.2,1999,6,"manual(m5)","4",14,17,"r","pickup"
"86","freeway","f150 pickup 4wd",4.6,1999,8,"manual(m5)","4",13,16,"r","pickup"
"87","freeway","f150 pickup 4wd",4.6,1999,8,"auto(l4)","4",13,16,"r","pickup"
"88","freeway","f150 pickup 4wd",4.6,2008,8,"auto(l4)","4",13,17,"r","pickup"
"89","freeway","f150 pickup 4wd",5.4,1999,8,"auto(l4)","4",11,15,"r","pickup"
"90","freeway","f150 pickup 4wd",5.4,2008,8,"auto(l4)","4",13,17,"r","pickup"
"91","freeway","mustang",3.8,1999,6,"manual(m5)","r",18,26,"r","subcompact"
"92","freeway","mustang",3.8,1999,6,"auto(l4)","r",18,25,"r","subcompact"
"93","freeway","mustang",4,2008,6,"manual(m5)","r",17,26,"r","subcompact"
"94","freeway","mustang",4,2008,6,"auto(l5)","r",16,24,"r","subcompact"
"95","freeway","mustang",4.6,1999,8,"auto(l4)","r",15,21,"r","subcompact"
"96","freeway","mustang",4.6,1999,8,"manual(m5)","r",15,22,"r","subcompact"
"97","freeway","mustang",4.6,2008,8,"manual(m5)","r",15,23,"r","subcompact"
"98","freeway","mustang",4.6,2008,8,"auto(l5)","r",15,22,"r","subcompact"
"99","freeway","mustang",5.4,2008,8,"manual(m6)","r",14,20,"p","subcompact"
"100","honda","civic",1.6,1999,4,"manual(m5)","f",28,33,"r","subcompact"
"101","honda","civic",1.6,1999,4,"auto(l4)","f",24,32,"r","subcompact"
"102","honda","civic",1.6,1999,4,"manual(m5)","f",25,32,"r","subcompact"
"103","honda","civic",1.6,1999,4,"manual(m5)","f",23,29,"p","subcompact"
"104","honda","civic",1.6,1999,4,"auto(l4)","f",24,32,"r","subcompact"
"105","honda","civic",1.8,2008,4,"manual(m5)","f",26,34,"r","subcompact"
"106","honda","civic",1.8,2008,4,"auto(l5)","f",25,36,"r","subcompact"
"107","honda","civic",1.8,2008,4,"auto(l5)","f",24,36,"c","subcompact"
"108","honda","civic",2,2008,4,"manual(m6)","f",21,29,"p","subcompact"
"109","hyundai","sonata",2.4,1999,4,"auto(l4)","f",18,26,"r","midsize"
"110","hyundai","sonata",2.4,1999,4,"manual(m5)","f",18,27,"r","midsize"
"111","hyundai","sonata",2.4,2008,4,"auto(l4)","f",21,30,"r","midsize"
"112","hyundai","sonata",2.4,2008,4,"manual(m5)","f",21,31,"r","midsize"
"113","hyundai","sonata",2.5,1999,6,"auto(l4)","f",18,26,"r","midsize"
"114","hyundai","sonata",2.5,1999,6,"manual(m5)","f",18,26,"r","midsize"
"115","hyundai","sonata",3.3,2008,6,"auto(l5)","f",19,28,"r","midsize"
"116","hyundai","tiburon",2,1999,4,"auto(l4)","f",19,26,"r","subcompact"
"117","hyundai","tiburon",2,1999,4,"manual(m5)","f",19,29,"r","subcompact"
"118","hyundai","tiburon",2,2008,4,"manual(m5)","f",20,28,"r","subcompact"
"119","hyundai","tiburon",2,2008,4,"auto(l4)","f",20,27,"r","subcompact"
"120","hyundai","tiburon",2.7,2008,6,"auto(l4)","f",17,24,"r","subcompact"
"121","hyundai","tiburon",2.7,2008,6,"manual(m6)","f",16,24,"r","subcompact"
"122","hyundai","tiburon",2.7,2008,6,"manual(m5)","f",17,24,"r","subcompact"
"123","jeep","grand cherokee 4wd",3,2008,6,"auto(l5)","4",17,22,"d","suv"
"124","jeep","grand cherokee 4wd",3.7,2008,6,"auto(l5)","4",15,19,"r","suv"
"125","jeep","grand cherokee 4wd",4,1999,6,"auto(l4)","4",15,20,"r","suv"
"126","jeep","grand cherokee 4wd",4.7,1999,8,"auto(l4)","4",14,17,"r","suv"
"127","jeep","grand cherokee 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","suv"
"128","jeep","grand cherokee 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","suv"
"129","jeep","grand cherokee 4wd",5.7,2008,8,"auto(l5)","4",13,18,"r","suv"
"130","jeep","grand cherokee 4wd",6.1,2008,8,"auto(l5)","4",11,14,"p","suv"
"131","land rover","range rover",4,1999,8,"auto(l4)","4",11,15,"p","suv"
"132","land rover","range rover",4.2,2008,8,"auto(s6)","4",12,18,"r","suv"
"133","land rover","range rover",4.4,2008,8,"auto(s6)","4",12,18,"r","suv"
"134","land rover","range rover",4.6,1999,8,"auto(l4)","4",11,15,"p","suv"
"135","lincoln","navigator 2wd",5.4,1999,8,"auto(l4)","r",11,17,"r","suv"
"136","lincoln","navigator 2wd",5.4,1999,8,"auto(l4)","r",11,16,"p","suv"
"137","lincoln","navigator 2wd",5.4,2008,8,"auto(l6)","r",12,18,"r","suv"
"138","mercury","mountaineer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv"
"139","mercury","mountaineer 4wd",4,2008,6,"auto(l5)","4",13,19,"r","suv"
"140","mercury","mountaineer 4wd",4.6,2008,8,"auto(l6)","4",13,19,"r","suv"
"141","mercury","mountaineer 4wd",5,1999,8,"auto(l4)","4",13,17,"r","suv"
"142","nissan","altima",2.4,1999,4,"manual(m5)","f",21,29,"r","compact"
"143","nissan","altima",2.4,1999,4,"auto(l4)","f",19,27,"r","compact"
"144","nissan","altima",2.5,2008,4,"auto(av)","f",23,31,"r","midsize"
"145","nissan","altima",2.5,2008,4,"manual(m6)","f",23,32,"r","midsize"
"146","nissan","altima",3.5,2008,6,"manual(m6)","f",19,27,"p","midsize"
"147","nissan","altima",3.5,2008,6,"auto(av)","f",19,26,"p","midsize"
"148","nissan","maxima",3,1999,6,"auto(l4)","f",18,26,"r","midsize"
"149","nissan","maxima",3,1999,6,"manual(m5)","f",19,25,"r","midsize"
"150","nissan","maxima",3.5,2008,6,"auto(av)","f",19,25,"p","midsize"
"151","nissan","pathfinder 4wd",3.3,1999,6,"auto(l4)","4",14,17,"r","suv"
"152","nissan","pathfinder 4wd",3.3,1999,6,"manual(m5)","4",15,17,"r","suv"
"153","nissan","pathfinder 4wd",4,2008,6,"auto(l5)","4",14,20,"p","suv"
"154","nissan","pathfinder 4wd",5.6,2008,8,"auto(s5)","4",12,18,"p","suv"
"155","silver","grand prix",3.1,1999,6,"auto(l4)","f",18,26,"r","midsize"
"156","silver","grand prix",3.8,1999,6,"auto(l4)","f",16,26,"p","midsize"
"157","silver","grand prix",3.8,1999,6,"auto(l4)","f",17,27,"r","midsize"
"158","silver","grand prix",3.8,2008,6,"auto(l4)","f",18,28,"r","midsize"
"159","silver","grand prix",5.3,2008,8,"auto(s4)","f",16,25,"p","midsize"
"160","subbie","forester awd",2.5,1999,4,"manual(m5)","4",18,25,"r","suv"
"161","subbie","forester awd",2.5,1999,4,"auto(l4)","4",18,24,"r","suv"
"162","subbie","forester awd",2.5,2008,4,"manual(m5)","4",20,27,"r","suv"
"163","subbie","forester awd",2.5,2008,4,"manual(m5)","4",19,25,"p","suv"
"164","subbie","forester awd",2.5,2008,4,"auto(l4)","4",20,26,"r","suv"
"165","subbie","forester awd",2.5,2008,4,"auto(l4)","4",18,23,"p","suv"
"166","subbie","impreza awd",2.2,1999,4,"auto(l4)","4",21,26,"r","subcompact"
"167","subbie","impreza awd",2.2,1999,4,"manual(m5)","4",19,26,"r","subcompact"
"168","subbie","impreza awd",2.5,1999,4,"manual(m5)","4",19,26,"r","subcompact"
"169","subbie","impreza awd",2.5,1999,4,"auto(l4)","4",19,26,"r","subcompact"
"170","subbie","impreza awd",2.5,2008,4,"auto(s4)","4",20,25,"p","compact"
"171","subbie","impreza awd",2.5,2008,4,"auto(s4)","4",20,27,"r","compact"
"172","subbie","impreza awd",2.5,2008,4,"manual(m5)","4",19,25,"p","compact"
"173","subbie","impreza awd",2.5,2008,4,"manual(m5)","4",20,27,"r","compact"
"174","tinker","4runner 4wd",2.7,1999,4,"manual(m5)","4",15,20,"r","suv"
"175","tinker","4runner 4wd",2.7,1999,4,"auto(l4)","4",16,20,"r","suv"
"176","tinker","4runner 4wd",3.4,1999,6,"auto(l4)","4",15,19,"r","suv"
"177","tinker","4runner 4wd",3.4,1999,6,"manual(m5)","4",15,17,"r","suv"
"178","tinker","4runner 4wd",4,2008,6,"auto(l5)","4",16,20,"r","suv"
"179","tinker","4runner 4wd",4.7,2008,8,"auto(l5)","4",14,17,"r","suv"
"180","tinker","camry",2.2,1999,4,"manual(m5)","f",21,29,"r","midsize"
"181","tinker","camry",2.2,1999,4,"auto(l4)","f",21,27,"r","midsize"
"182","tinker","camry",2.4,2008,4,"manual(m5)","f",21,31,"r","midsize"
"183","tinker","camry",2.4,2008,4,"auto(l5)","f",21,31,"r","midsize"
"184","tinker","camry",3,1999,6,"auto(l4)","f",18,26,"r","midsize"
"185","tinker","camry",3,1999,6,"manual(m5)","f",18,26,"r","midsize"
"186","tinker","camry",3.5,2008,6,"auto(s6)","f",19,28,"r","midsize"
"187","tinker","camry solara",2.2,1999,4,"auto(l4)","f",21,27,"r","compact"
"188","tinker","camry solara",2.2,1999,4,"manual(m5)","f",21,29,"r","compact"
"189","tinker","camry solara",2.4,2008,4,"manual(m5)","f",21,31,"r","compact"
"190","tinker","camry solara",2.4,2008,4,"auto(s5)","f",22,31,"r","compact"
"191","tinker","camry solara",3,1999,6,"auto(l4)","f",18,26,"r","compact"
"192","tinker","camry solara",3,1999,6,"manual(m5)","f",18,26,"r","compact"
"193","tinker","camry solara",3.3,2008,6,"auto(s5)","f",18,27,"r","compact"
"194","tinker","corolla",1.8,1999,4,"auto(l3)","f",24,30,"r","compact"
"195","tinker","corolla",1.8,1999,4,"auto(l4)","f",24,33,"r","compact"
"196","tinker","corolla",1.8,1999,4,"manual(m5)","f",26,35,"r","compact"
"197","tinker","corolla",1.8,2008,4,"manual(m5)","f",28,37,"r","compact"
"198","tinker","corolla",1.8,2008,4,"auto(l4)","f",26,35,"r","compact"
"199","tinker","land cruiser wagon 4wd",4.7,1999,8,"auto(l4)","4",11,15,"r","suv"
"200","tinker","land cruiser wagon 4wd",5.7,2008,8,"auto(s6)","4",13,18,"r","suv"
"201","tinker","tinker tacoma 4wd",2.7,1999,4,"manual(m5)","4",15,20,"r","pickup"
"202","tinker","tinker tacoma 4wd",2.7,1999,4,"auto(l4)","4",16,20,"r","pickup"
"203","tinker","tinker tacoma 4wd",2.7,2008,4,"manual(m5)","4",17,22,"r","pickup"
"204","tinker","tinker tacoma 4wd",3.4,1999,6,"manual(m5)","4",15,17,"r","pickup"
"205","tinker","tinker tacoma 4wd",3.4,1999,6,"auto(l4)","4",15,19,"r","pickup"
"206","tinker","tinker tacoma 4wd",4,2008,6,"manual(m6)","4",15,18,"r","pickup"
"207","tinker","tinker tacoma 4wd",4,2008,6,"auto(l5)","4",16,20,"r","pickup"
"208","volks","gild",2,1999,4,"manual(m5)","f",21,29,"r","compact"
"209","volks","gild",2,1999,4,"auto(l4)","f",19,26,"r","compact"
"210","volks","gild",2,2008,4,"manual(m6)","f",21,29,"p","compact"
"211","volks","gild",2,2008,4,"auto(s6)","f",22,29,"p","compact"
"212","volks","gild",2.8,1999,6,"manual(m5)","f",17,24,"r","compact"
"213","volks","jetfast",1.9,1999,4,"manual(m5)","f",33,44,"d","compact"
"214","volks","jetfast",2,1999,4,"manual(m5)","f",21,29,"r","compact"
"215","volks","jetfast",2,1999,4,"auto(l4)","f",19,26,"r","compact"
"216","volks","jetfast",2,2008,4,"auto(s6)","f",22,29,"p","compact"
"217","volks","jetfast",2,2008,4,"manual(m6)","f",21,29,"p","compact"
"218","volks","jetfast",2.5,2008,5,"auto(s6)","f",21,29,"r","compact"
"219","volks","jetfast",2.5,2008,5,"manual(m5)","f",21,29,"r","compact"
"220","volks","jetfast",2.8,1999,6,"auto(l4)","f",16,23,"r","compact"
"221","volks","jetfast",2.8,1999,6,"manual(m5)","f",17,24,"r","compact"
"222","volks","old beetle",1.9,1999,4,"manual(m5)","f",35,44,"d","subcompact"
"223","volks","old beetle",1.9,1999,4,"auto(l4)","f",29,41,"d","subcompact"
"224","volks","old beetle",2,1999,4,"manual(m5)","f",21,29,"r","subcompact"
"225","volks","old beetle",2,1999,4,"auto(l4)","f",19,26,"r","subcompact"
"226","volks","old beetle",2.5,2008,5,"manual(m5)","f",20,28,"r","subcompact"
"227","volks","old beetle",2.5,2008,5,"auto(s6)","f",20,29,"r","subcompact"
"228","volks","box",1.8,1999,4,"manual(m5)","f",21,29,"p","midsize"
"229","volks","box",1.8,1999,4,"auto(l5)","f",18,29,"p","midsize"
"230","volks","box",2,2008,4,"auto(s6)","f",19,28,"p","midsize"
"231","volks","box",2,2008,4,"manual(m6)","f",21,29,"p","midsize"
"232","volks","box",2.8,1999,6,"auto(l5)","f",16,26,"p","midsize"
"233","volks","box",2.8,1999,6,"manual(m5)","f",18,26,"p","midsize"
"234","volks","box",3.6,2008,6,"auto(s6)","f",17,26,"p","midsize"
